id,renewal,incentives
649,0.9717317196164693,184
81136,0.9692259631314504,447
70762,0.8837759554892118,447
53935,0.9640080418207069,277
15476,0.9415709068490757,400
64797,0.9691590624183802,447
67412,0.8545784299495562,184
44241,0.8560849011917365,277
5069,0.9721534067939412,488
16615,0.9716755556857037,685
84281,0.9680921488490345,586
82623,0.9588935127679779,26
86475,0.6630411872722287,447
68263,0.9452553901094608,26
113135,0.9356669469422605,26
45532,0.9499604665732301,557
102161,0.9731238448156218,345
84789,0.6634776389272378,707
62398,0.9617645125308859,447
70148,0.9627179707838139,184
102487,0.9261372769088796,488
100513,0.9212136236957532,447
92702,0.8987861381235083,288
25051,0.7077938481891435,400
92920,0.9721059851457939,488
25520,0.9548179075683152,447
81869,0.9546093780730307,780
75402,0.964970777825841,345
34053,0.7680536563487681,26
21191,0.9693366957819035,400
10864,0.9677001656486314,277
6349,0.9617573720856464,345
85213,0.9675900964189704,345
17255,0.9517303941345028,277
108351,0.8635143602449572,184
51437,0.9620658472441537,447
88629,0.8172838697597204,586
85367,0.9709551621981892,26
12313,0.9467940951513719,26
71659,0.9595094755645526,447
35142,0.9695862789708716,277
62988,0.9687585167508204,557
8793,0.9397256743740319,184
11433,0.9703661368754813,400
30586,0.9701742350675232,557
53012,0.9611692115473243,184
87924,0.9673146256993213,345
106177,0.9660747569735378,447
63058,0.9483305400988851,557
99537,0.9527456976451015,488
35336,0.9001731724257885,586
78691,0.9482944601369645,26
16161,0.9659406474834111,400
94318,0.965046216020419,277
96583,0.9717686864132998,184
104560,0.9436269299593544,288
19638,0.9729072687068104,663
26080,0.9606826719083864,447
113482,0.9685797809558202,345
82175,0.9652358901743862,184
1239,0.9617219389191968,184
32521,0.6975724552713999,447
68529,0.9725846524185287,345
38882,0.5756600212560075,277
8299,0.9720503456857682,184
98521,0.954874905353044,488
47257,0.936682083383287,345
42445,0.9625625181894004,488
104700,0.7776395258940608,488
109204,0.970734156812936,488
20138,0.6791002355867789,400
28468,0.9699745889998863,614
94964,0.8250907498342858,524
59773,0.9078790525188163,184
17261,0.9718428597645149,557
9570,0.9264970970191836,184
55159,0.8165449607663661,277
82480,0.9663354415073524,184
51225,0.770952957321393,345
53176,0.7881906598997404,26
82883,0.9636541741873426,184
63590,0.9683685421644384,557
50906,0.827298105395717,488
21635,0.8749490332218307,447
84000,0.932736415322098,277
79029,0.9727210526322947,557
60256,0.9715653745643682,524
110660,0.8538071924873044,184
51023,0.9600279905199615,614
99146,0.9474612311345711,447
93878,0.9670706239280188,277
93845,0.9659463675505114,184
5364,0.6540624545393616,26
106612,0.9592542367798639,400
79928,0.9699062719575621,400
94761,0.9394150943912336,586
7126,0.9659390872280548,447
82176,0.9550540970090403,400
53475,0.7058810659577216,400
88108,0.9733634452239109,557
65166,0.9625524280224673,26
65378,0.9542231637232401,277
47119,0.9558510972900097,447
64338,0.9706981197421035,614
48872,0.9438264396592793,184
26061,0.9719025694085067,524
78191,0.9690661116105652,400
108224,0.9704851752090641,447
47646,0.9032120716084008,26
63423,0.9701138774337662,447
109453,0.9506875706284151,345
43299,0.9728717988305848,345
86879,0.9511073941865199,345
51882,0.9679925322890188,488
84497,0.6026089206272527,447
19699,0.9364359741418329,586
52164,0.9547233418973268,447
36055,0.9381436169168711,277
17844,0.9678340753463475,614
12006,0.9686458098653616,400
51731,0.9721825479677364,400
101823,0.9441868492438381,400
70611,0.9629120468199771,488
57291,0.7988483562145806,447
3315,0.9265922487360965,447
6841,0.9386453192705196,345
95636,0.7737971961865073,345
89508,0.9717251066700379,345
78357,0.9557127291126781,400
30363,0.9716223638447733,488
65880,0.9525880648448172,447
79166,0.948185056916509,277
16883,0.9276263745856428,488
19400,0.9704336157280188,184
97846,0.9641464053146442,524
35938,0.9525349114790437,277
109739,0.9626386394010519,277
7542,0.9303054536249414,184
62506,0.9718687603815936,557
106686,0.9590601871324838,447
22500,0.9669117680596883,277
73566,0.9475253571512562,345
34462,0.9731984859780928,488
109,0.9609376925392669,524
82344,0.9682520893413932,614
70324,0.9686205582975259,586
47235,0.9729300023974446,345
78355,0.9611601685091058,400
97012,0.9407362238385101,345
103271,0.9723989054591674,447
54640,0.9667575981048864,277
18452,0.9384652783696277,400
80733,0.8757287711791825,488
22069,0.9520048805438667,586
63586,0.968470813587702,447
63069,0.9671388241158492,345
66451,0.9495962294360167,586
5163,0.9727159713767107,277
6542,0.9716970589219602,557
79333,0.9719622229354262,447
8752,0.9701369344032875,447
37396,0.9726524311930718,400
27502,0.926734990174308,488
65597,0.9672123473252386,345
50178,0.9647718517619657,447
51709,0.91373698610938,524
32294,0.9618558776884176,400
76360,0.9688775256048524,345
51635,0.9724620347268959,184
103391,0.5181003623267052,277
59747,0.7354044527502885,26
21498,0.960030526893726,488
18771,0.967763969293826,288
34501,0.9470235990085,26
77807,0.9410341817695973,184
26350,0.924129918276235,288
105355,0.9244776505042199,557
5469,0.9699553155204119,184
23826,0.6105962898810253,447
9399,0.9701324325416059,488
44862,0.9481187432943798,184
104114,0.9680381449647458,26
20407,0.9438794955797392,184
7541,0.9733359203853428,345
72892,0.957128297350151,184
81994,0.9686746253432679,614
111007,0.9701325045730607,277
83350,0.9704067610435707,488
55682,0.9603416454874127,345
26680,0.9696601611909738,184
109949,0.9609098860649351,277
12482,0.9660803907211415,26
108210,0.9705409715501874,345
35717,0.9692020934008947,488
74030,0.9519837815384414,447
18407,0.9031267751269659,400
113337,0.9298081815658528,277
81673,0.9626339192177666,277
80808,0.9708590804427707,400
87300,0.9693504565496455,345
113610,0.9721013651634683,26
68221,0.9677850987705992,639
32307,0.9716153539115033,447
53974,0.9651840632925145,447
80255,0.9445533000107704,345
37547,0.9468237002858603,524
62782,0.9704455242344104,447
60206,0.9697662378169378,586
109533,0.9719697062876571,400
31952,0.7632464133098873,488
31266,0.9614203248881562,26
49517,0.9434005938261375,345
52843,0.9375864058921997,488
107949,0.9574396583513499,345
50424,0.927968630167413,447
28080,0.9690161274079149,277
63289,0.864575663764906,447
59792,0.9313396201526118,26
8600,0.9687137829484476,277
30415,0.9698817184943368,488
92033,0.9609879806092019,345
51339,0.9479935896491832,277
104556,0.9715789612237259,488
67550,0.9606320984894795,288
71744,0.9105082750375363,400
49589,0.9604589241022147,26
17018,0.9207044606277899,685
34936,0.8022684218758558,345
110058,0.9725257082809587,277
67668,0.9643955417276333,400
75859,0.9662642976284012,277
38878,0.9544418595472955,797
107894,0.9694146751373036,26
63438,0.9671191916630756,400
75713,0.9734035727062333,184
15713,0.9581809603430006,524
34402,0.9617414493580049,400
40084,0.9696815694821602,184
64940,0.9500881242253811,184
66279,0.970183614742222,488
77818,0.9514882160283847,639
63889,0.9683905709214836,345
48861,0.9685670848770623,184
26520,0.9620151298850996,763
66559,0.9717633173552953,400
24068,0.7661466883789357,277
20211,0.9553204457201903,919
86715,0.9672777569706307,400
68601,0.9721478838274702,26
95696,0.9599685641833539,400
60049,0.9663449677615583,345
7620,0.9369140754678114,345
42468,0.95912221996153,277
106475,0.9613700795211079,488
43145,0.9712417402860423,726
102597,0.9685835838455158,277
93680,0.9489358967259284,488
37065,0.9242400857646615,400
49472,0.9652959059676314,345
45364,0.8529639943475724,726
112287,0.9596398201706334,400
90044,0.9463544104254682,345
40999,0.9643439370284602,288
93637,0.9720930161653863,400
47689,0.9705019659686149,400
15068,0.9682694021240142,400
67323,0.9642143420293261,400
285,0.9546085553858151,26
76543,0.9695682845213999,557
52901,0.8413224017977118,488
10299,0.9681798664879594,345
8199,0.6290639168165886,447
10875,0.8132909421171899,400
36812,0.9685603954464524,797
110,0.8704033594122911,400
25682,0.8837312839172853,288
7331,0.9322696467757849,400
76947,0.9355286468875119,26
28303,0.9502064489013218,345
32212,0.921210974058846,488
18692,0.968159522224581,586
75865,0.9703445124481747,184
74466,0.9539791193274927,345
81378,0.9591441480098706,488
85492,0.9140763262883632,26
67992,0.9414904166036034,277
12527,0.9706778527028809,524
48212,0.9375551981861071,277
